cou_iso3	cou	cou_as	count
USA	UNITED STATES OF AMERICA	US	1614
DEU	GERMANY	DE	6566
NLD	NETHERLANDS	NL	6448
BEL	BELGIUM	BE	134
ITA	ITALY	IT	313
FXX	FRANCE	FR	6907
CAN	CANADA	CA	759
DNK	DENMARK	DK	633
FIN	FINLAND	FI	106
ESP	SPAIN	ES	1127
GBR	IRELAND 	GB	81
CHE	SWITZERLAND	CH	316
CZE	CZECH REPUBLIC	CZ	537
HUN	HUNGARY	HU	19
LUX	LUXEMBOURG	LU	39
SWE	SWEDEN	SE	104
POL	POLAND	PL	11434
AUT	AUSTRIA	AT	15
IRL	IRELAND	IE	35
AUS	AUSTRALIA	AU	74
NZL	NEW ZEALAND	NZ	128
